,company,description,est_salary,link,location,post_time,real_salary_lower,real_salary_upper,title
0,Selby Jennings,Cover market data feed decoding. An ideal candidate will have had some experience in a similar trading environment but this is not a pre-requisite as the...,200000.0,http://www.indeed.com/rc/clk?jk=40150a3952cc6a2b&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",Just posted,175000.0,300000.0,VP C++ Low Latency Software Developer
1,Selby Jennings,Research Scientist - High Frequency Trading. An opportunity exists for an exceptional research scientist with a proven track record of cutting edge research...,200000.0,http://www.indeed.com/rc/clk?jk=40d959674a4fc18c&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",1 day ago,175000.0,250000.0,Research Scientist - High Frequency Trading
2,EMF Industries,Work will be with a Data Scientists to support some data science and prototypes for a Domestic Program Engagement....,200000.0,http://www.indeed.com/cmp/EMF-Industries/jobs/Software-Engineer-Earning-3b64404f8648030c?r=1&fccid=6e06161b05fe1825,"Reston, VA",5 days ago,222000.0,,"Software Engineer 09-20 Earning $222,000"
3,Rekruiters,Analyzing system performance/trading data; Building applicationsthat parse and stream data; Working with our research scientists to deliver their algorithms and...,200000.0,http://www.indeed.com/rc/clk?jk=22ab419b40468c0e&fccid=6c02f58b75d4dcce,"Houston, TX 77006 (Montrose area)",5 days ago,250000.0,,C++ Software Engineer
4,"DTS - NLP, Machine Learning","NLP, machine learning, data analytics:. Understanding of NLP, machine learning, data analytics, and expert systems*....",200000.0,http://www.indeed.com/cmp/DTS/jobs/VP-Engineering-Machine-Learning-c02e9d8def5d3e7c?r=1&fccid=ddf6271825219a2d,"Boston, MA",5 days ago,200000.0,,VP Engineering Machine Learning
5,Tandem Recruiting Group,"Research Scientist -- Computer Vision & Machine Learning. Its Research Institute accumulates over a decade R&D experience in Video Camera, Image Processing,...",200000.0,http://www.indeed.com/cmp/Tandem-Recruiting-Group/jobs/Senior-Machine-Learning-Scientist-4583a12ce4062b18?r=1&fccid=2d68a81d04a3d17b,"Santa Clara, CA",6 days ago,200000.0,,Senior Machine Learning Scientist
6,"The Hagan-Ricci Group, Inc.",New York City financial services firm is seeking an experienced Data Scientist with strong Python development skills to work collaboratively with quants and IT...,200000.0,http://www.indeed.com/rc/clk?jk=1fb426c9c0ce2437&fccid=31b9e0aaed20857f,"New York, NY",15 days ago,200000.0,300000.0,Data Scientist / Python Developer
7,Datacom Technology Group,"Should have experience conducting empirical research and working with large fundamental data sets. Will analyze and interpret relevant data, use valuation...",200000.0,http://www.indeed.com/rc/clk?jk=1399b83140ea54f7&fccid=fcfce6dc85448da7,"New York, NY 10022 (Midtown area)",18 days ago,200000.0,,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fund
8,Selby Jennings,"Extract and analyze data from large, complex data sets. Experience manipulating large, complex data sets. Fluency in some selection of programming languages and...",200000.0,http://www.indeed.com/rc/clk?jk=d8f731e9ae667898&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",18 days ago,150000.0,250000.0,Quantitative Research – Machine Learning
9,HERO.jobs,Integrate data storage solutions (both relational and noSQL). Able to integrate multiple data sources and databases into one system....,200000.0,http://www.indeed.com/cmp/Hero.jobs/jobs/Senior-Software-Engineer-8d6c33e96b88b49c?r=1&fccid=a740ef1605ec14be,"San Francisco, CA",19 days ago,200000.0,,Senior Software Engineer - Python - Machine Learning
10,Technical Source,"Data analytics and modeling, data visualization, business acumen and strategy.*. The Data Scientist and Senior Managing Strategy Consultant role is in our...",200000.0,http://www.indeed.com/cmp/Technical-Source/jobs/Data-Scientist-f758a230b75bf33b?r=1&fccid=18de6f0ef89489e1,"Armonk, NY",22 days ago,200000.0,,Data Scientist
11,Infinity Consulting Solutions,"Data Scientist - Principal. Looking for a proven ""hands on” Data Scientist to build up a new practice within this cloud-based product division....",200000.0,http://www.indeed.com/rc/clk?jk=5d7c0d07b64bcca8&fccid=c91b9f014b80ea8c,"Saint Paul, MN",21 days ago,150000.0,250000.0,Principal Data Scientist
12,Selby Jennings,"Multinational Tier 1 Bank is looking to add to their Risk Modelling Group. In this role, you will be responsible for independently handling in-depth modelling",200000.0,http://www.indeed.com/rc/clk?jk=aef528ced0d1de8f&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",26 days ago,150000.0,250000.0,Senior Quantitative Risk Analyst
13,Averity,Source and build large data sets to utilize your abilities to conduct statistical and mathematical analysis....,200000.0,http://www.indeed.com/rc/clk?jk=cfc624c0d5417a08&fccid=39407476605079e0,"Philadelphia, PA",25 days ago,200000.0,300000.0,Quantitative Analyst (Big Data Focus) at $10+ Billion Hedge Fund
14,Averity,"Are you a Senior Data Scientist looking to lead and grow our company's newly formed Data Science team? As a Senior / Lead Data Scientist, you will be leading...",200000.0,http://www.indeed.com/rc/clk?jk=c7cf363d0be8c594&fccid=39407476605079e0,"New York, NY",30+ days ago,150000.0,250000.0,Lead Data Scientist for Global Digital Media Company
15,Execu | Search,"Analyze large structured and unstructured data sets such as internal trade data, risk data, fundamental data, and sentiment data....",200000.0,http://www.indeed.com/rc/clk?jk=d3b76f9ffe837d64&fccid=1d60172167b02068,"New York, NY",30+ days ago,150000.0,250000.0,Quantitative Risk Analyst
16,Geode Executive Search,"Data Scientist - Text Analytics - SQL, R, SAS*. The ~600 person company has a relatively new Data Analytics department, which has the responsibility of...",200000.0,http://www.indeed.com/cmp/Geode-Executive-Search/jobs/Data-Scientist-56807b7467c12db9?r=1&fccid=e581077b5996c664,"New York, NY",30+ days ago,200000.0,,"Data Scientist - Text Analytics - SQL, R, SAS"
17,LT,Our data team consists of two data analysts and two data scientists. My client a leading mobile application company located right here in the beautiful Los...,200000.0,http://www.indeed.com/cmp/LT/jobs/Sdet-Engineer-a20215ce22f17813?r=1&fccid=867f5ccabfd4ec09,"Los Angeles, CA",30+ days ago,200000.0,,SDET Engineer
18,Blue Owl,"Experience working closely with data scientists. Created geospatial services before, such as maps data, routing and travel time prediction algorithms, traffic...",200000.0,http://www.indeed.com/rc/clk?jk=7962ddf1f9701d13&fccid=d978045561911d24,"San Francisco, CA",30+ days ago,200000.0,300000.0,Save lives as a software engineer
19,Selby Jennings,"Multinational Tier 1 Bank is looking to add to their Risk Modelling Group. In this role, you will be responsible for independently handling in-depth modeling",200000.0,http://www.indeed.com/rc/clk?jk=fb683d4a0a720ffe&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",30+ days ago,150000.0,250000.0,Senior Quantitative Finance Analyst
20,ingenium,Lead and manage a team of data engineers and scientists working on firm's data pipeline. Data - Lead Software Engineer....,200000.0,http://www.indeed.com/rc/clk?jk=25422e4f63bbf748&fccid=d19c99c72be0c18d,"New York, NY 10018 (Clinton area)",30+ days ago,200000.0,,Lead Data Engineer
21,Averity,Our Quantitative Strategy team is in search of a statically and analytically driven Quant / Data Scientist with hands on programming experience to lead the...,200000.0,http://www.indeed.com/rc/clk?jk=f894d92be821469e&fccid=39407476605079e0,"New York, NY",30+ days ago,200000.0,250000.0,Quantitative Research Analyst / Data Scientist for $20B Hedge Fund
22,Averity,Examine and analyze data to increase alpha and decrease risk. Industry leading multi-billion dollar quant fund looking for Analysts that can drive quantitative...,200000.0,http://www.indeed.com/rc/clk?jk=56fd117bff74f3e9&fccid=39407476605079e0,"New York, NY",30+ days ago,150000.0,300000.0,Quantitative Analyst for Global Quant Fund
23,Harnham,Chief Data Scientist - Consulting. Chief Data Scientist | Data Science | Insurance | Management Consulting | Project Management | Statistical Modeling....,200000.0,http://www.indeed.com/rc/clk?jk=ed804e9cea125191&fccid=d72eb0548d91249c,"New York, NY",30+ days ago,220000.0,,Chief Data Scientist - Consulting
24,Penfield Search Partners,"Use of historical data / informative priors, biomarker modelling, causal inference, missing data, benefit-risk modelling, evidence synthesis). Sr....",200000.0,http://www.indeed.com/rc/clk?jk=d4fe7e07784931e7&fccid=5d807087f2960e47,"Philadelphia, PA",30+ days ago,220000.0,,"Sr. Director, Statistical Innovation"
25,Jobspring Partners,They are hiring for a hands-on Data Science and Analytics Manager to lead a team of data engineers and data scientists that develop the data processing engine...,190000.0,http://www.indeed.com/rc/clk?jk=189fd56872a230a3&fccid=4a2d2fbadf14d480,"Santa Clara, CA",4 days ago,180000.0,200000.0,Data Science and Analytics Leader - Pre-IPO Unicorn
26,Penfield Search Partners,"Oversee or partner in development of data quality assurance checks, ensuring accuracy and consistency of data released for statistical analysis....",190000.0,http://www.indeed.com/rc/clk?jk=36b2169dbb9a8182&fccid=5d807087f2960e47,"North Chicago, IL",5 days ago,190000.0,,"Director, Phase I Biostatistics"
27,JPMorgan Chase - Asset Management,"J.P. Morgan is a global leader in asset and wealth management services. The Asset Management line of business serves institutional, ultra high net worth, high",190000.0,http://www.indeed.com/rc/clk?jk=c837f343d77dc2d4&fccid=c46d0116f6e69eae,"New York, NY",8 days ago,,,Asset Management - Quantitative Analyst - VP/ED (Based in London/ New York)
28,Green Key Resources,"Qualifications Masters in Mathematics, Physics or Quantitative Finance 7+ years of relevant experience in Risk, Modelling or related industry Attention to",190000.0,http://www.indeed.com/rc/clk?jk=7b42212e52dcf436&fccid=f9df97a5b5c014ec,"New York, NY 10016 (Gramercy area)",27 days ago,175000.0,215000.0,Quantitative Analyst
29,TW Staffing Solutions,"Data Scientist - New York (total compensation $199,000). Obtain a solid fundamental knowledge into Big Data research, gaining high level exposure to multiple...",190000.0,http://www.indeed.com/rc/clk?jk=f6d0a1d8de312441&fccid=a6eb891e87503d5a,"New York, NY",30+ days ago,199000.0,,Data Scientist
30,Geode Executive Search,"Data Scientist - Text Analytics - SQL, R, SAS*. The ~600 person company has a relatively new Data Analytics department, which has the responsibility of...",190000.0,http://www.indeed.com/company/Geode-Executive-Search/jobs/Data-Scientist-56807b7467c12db9?r=1&fccid=e581077b5996c664,"New York, NY",30+ days ago,200000.0,,"Data Scientist - Text Analytics - SQL, R, SAS"
31,Green Key Resources,7+ years of relevant Data Governance experience. Contribute to the overall data governance strategy to ensure the meta data developed and composed supports the...,190000.0,http://www.indeed.com/rc/clk?jk=784149d1f7ff7a79&fccid=f9df97a5b5c014ec,"New York, NY 10016 (Gramercy area)",30+ days ago,175000.0,215000.0,Data Analysis Specialist
32,LT,Our data team consists of two data analysts and two data scientists. My client a leading mobile application company located right here in the beautiful Los...,190000.0,http://www.indeed.com/company/LT/jobs/Sdet-Engineer-a20215ce22f17813?r=1&fccid=867f5ccabfd4ec09,"Los Angeles, CA",30+ days ago,200000.0,,SDET Engineer
33,Workbridge Associates,A leading Mountain View social media startup looking to add a Data Scientist to their growing team. This is some of the hottest new technology in the Data...,180000.0,http://www.indeed.com/rc/clk?jk=6c29ea8684482a08&fccid=a6920e0a635e5c4e,"Mountain View, CA",Today,150000.0,220000.0,Senior Data Scientist
34,JPMorgan Chase,"Senior Data Scientist (VP) - Wholesale Solutions.  Data frame software such as Pandas. The JPMIS Senior Data Scientist is responsible for developing, testing...",180000.0,http://www.indeed.com/rc/clk?jk=50a03818ad7cfc70&fccid=c46d0116f6e69eae,"New York, NY",2 days ago,,,Senior Data Scientist (VP) - Wholesale Solutions
35,Oscar Technology,"A global leader in technology solutions for the transport industry, working with leisure and tourism companies to provide advanced technology platforms and data...",180000.0,http://www.indeed.com/cmp/Oscar-Technology/jobs/Data-Science-Director-96463e7ac0f61c4f?r=1&fccid=91b9efb3f8516152,"Dallas-Fort Worth, TX",5 days ago,180000.0,,Data Science Director
36,Tandem Recruiting Group,"Our client is the world's leading supplier of video surveillance solutions. From its inception in 2001,they have played an active role in the ever-evolving",180000.0,http://www.indeed.com/cmp/Tandem-Recruiting-Group/jobs/Computer-Vision-Machine-Learning-Researcher-f07ec19424f6c4b8?r=1&fccid=2d68a81d04a3d17b,"Santa Clara, CA",6 days ago,180000.0,,Computer Vision/Machine Learning Researcher
37,Harnham,"Director, Data Scientist Modeler. Essentially as a Data Scientist Modeler -Director and senior professional, you will always be required to solve challenging...",180000.0,http://www.indeed.com/rc/clk?jk=1d08bfaa9434999e&fccid=d72eb0548d91249c,"New York, NY",15 days ago,180000.0,,"Director, Data Scientist Modeler"
38,Workbridge Associates,"Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Data, Scientist, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python, R, Hadoop, Hive,...",180000.0,http://www.indeed.com/cmp/Workbridge-Associates/jobs/Director-Data-Science-760c3dd88de92587?r=1&fccid=a6920e0a635e5c4e,"Chicago, IL",18 days ago,180000.0,,Director of Data Science
39,Old Dominion University,Familiarity with simulation-based data science is required. ODUâ??s goal is to build on its longstanding M&S strengths to create a broad Data Sciences...,180000.0,http://www.indeed.com/rc/clk?jk=3998939523ddc354&fccid=69a27b4e60de9ebb,"Norfolk, VA",20 days ago,187460.0,,"Executive Director of the Virginia Modeling, Analysis, and Simulation Center /Associate Vice President for Data Sciences"
40,Penfield Search Partners,"Analysis and interpretation of safety data. Knowledge/research experience in group-sequential/adaptive designs, multiple testing, Bayesian statistics, optimal...",180000.0,http://www.indeed.com/rc/clk?jk=c1bd8f20f494aebf&fccid=5d807087f2960e47,"Gaithersburg, MD",21 days ago,180000.0,,"Director, Statistics - Clinical Trial Design Specialist"
41,Carilion Clinic,"The institute has state-of-the-art facilities in functional brain imaging multiple research dedicated MRIs, molecular biology cores, high field cryo- electron...",180000.0,http://www.indeed.com/rc/clk?jk=c4335a4f2090cb53&fccid=f32a31323adb5fda,"Roanoke, VA",27 days ago,,,"Section Chief, Neurology with Carilion Clinic and Virginia Tech School of Medicine in Virginia"
42,Workbridge Associates,The role will be working on technology that provides API endpoints to gather data. A leading San Francisco-based company in the fin-tech space is looking for an...,180000.0,http://www.indeed.com/rc/clk?jk=a56199e95bea437e&fccid=a6920e0a635e5c4e,"San Francisco, CA",30+ days ago,165000.0,195000.0,"Staff Engineer, Machine Learning (Scala)"
43,LT,"Our data team consists of two data analysts and three data scientists. My client a leading mobile application company located in Los Angeles, CA is looking for...",180000.0,http://www.indeed.com/cmp/LT/jobs/Senior-Java-Developer-5d57d18476a3684a?r=1&fccid=867f5ccabfd4ec09,"Los Angeles, CA",30+ days ago,180000.0,,Senior Java Developer
44,The Company Search Group,"The Risk Modeling group is a highly select team of over 200 Statisticians, Econometricians, Scientists, and Engineers, combining the best academic credentials...",180000.0,http://www.indeed.com/rc/clk?jk=f92eaa3857e9fb82&fccid=7f36b815b25ba38e,"New York, NY",30+ days ago,,,Head of Modeling
45,Workbridge Associates,The role will be working on technology that provides API endpoints to gather data. A leading San Francisco-based company in the fin-tech space is looking for an...,180000.0,http://www.indeed.com/rc/clk?jk=c9647eac2355e9a7&fccid=a6920e0a635e5c4e,"San Francisco, CA",30+ days ago,165000.0,195000.0,"Staff Engineer, Machine Learning"
46,Jobspring Partners,One of the most recognizable automobile companies in the world is looking to build out their Machine Learning team. Chances are someone in your network uses,180000.0,http://www.indeed.com/rc/clk?jk=9fc6fd0deada504d&fccid=4a2d2fbadf14d480,"San Jose, CA 95113 (Downtown area)",30+ days ago,160000.0,200000.0,Machine Learning Engineer - Auto R&D
47,Pointillist,"We are a group of Data Scientists, Developers, and Start up veterans with a single obsession:. Vice President Business Development & Sales – Pointillist*....",180000.0,http://www.indeed.com/cmp/Pointillist/jobs/Vice-President-Business-Development-Sales-ddbb07be20486d68?r=1&fccid=0db07b42f45d6765,"Boston, MA",30+ days ago,180000.0,,Vice President Business Development & Sales
48,Selby Jennings,"Equity Research Analyst – Insurance – New York, NY Selby Jennings’ client, a Top Global Bank, is looking to add an Equity Research Analyst who will be",180000.0,http://www.indeed.com/rc/clk?jk=58e83550cc3ffecd&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",30+ days ago,175000.0,200000.0,"Equity Research Analyst – Insurance – New York, NY"
49,Harnham,VP of Data. The data team's mission is to provide the highest level of service to the community through analysing and researching all aspects of data and...,180000.0,http://www.indeed.com/rc/clk?jk=f27eae63cd449edb&fccid=d72eb0548d91249c,"New York, NY",30+ days ago,170000.0,190000.0,VP of Data
50,"Redolent, Inc",Hired and led a team of engineers & data scientists. Industry experience in Data modelling & Data science engineering....,180000.0,http://www.indeed.com/rc/clk?jk=b17175240534dd82&fccid=d7a70292d8a44fb3,"Milpitas, CA",30+ days ago,185000.0,,Engineering Manager - Big Data Algorithms & Core Engineering
51,Workbridge Associates,Large data sets and predictive analysis. A fast paced startup in Mountain View is taking on social media marketing and looking for a Senior Data scientist to...,170000.0,http://www.indeed.com/rc/clk?jk=522a540af972d32b&fccid=a6920e0a635e5c4e,"Mountain View, CA",Today,150000.0,200000.0,Senior Data Scientist
52,Jobspring Partners,The leading machine learning company focused on preventing fraud is currently hiring in San Francisco. This will be the first Site Reliability Engineer hire,170000.0,http://www.indeed.com/rc/clk?jk=48aa402571901eef&fccid=4a2d2fbadf14d480,"San Francisco, CA",1 day ago,160000.0,185000.0,"Senior Site Reliability Engineer (1st hire, machine learning)"
53,Ipsos North America,"A data scientist expert, experimented in quantitative data analysis and data modeling with a strong background in panels analytics (consumer panel, audience...",170000.0,http://www.indeed.com/rc/clk?jk=beeb167d9d4f8b9f&fccid=d73294b71d7f0354,"New York, NY",5 days ago,,,"Connect - Vice President, Behavioral Data Group"
54,"DTS - NLP, Machine Learning","NLP, machine learning, data analytics:. Understanding of NLP, machine learning, data analytics, and expert systems*....",170000.0,http://www.indeed.com/company/DTS/jobs/VP-Engineering-Machine-Learning-c02e9d8def5d3e7c?r=1&fccid=ddf6271825219a2d,"Boston, MA",5 days ago,200000.0,,VP Engineering Machine Learning
55,Tandem Recruiting Group,"Research Scientist -- Computer Vision & Machine Learning. Its Research Institute accumulates over a decade R&D experience in Video Camera, Image Processing,...",170000.0,http://www.indeed.com/company/Tandem-Recruiting-Group/jobs/Senior-Machine-Learning-Scientist-4583a12ce4062b18?r=1&fccid=2d68a81d04a3d17b,"Santa Clara, CA",6 days ago,200000.0,,Senior Machine Learning Scientist
56,Tandem Recruiting Group,"Our client is the world's leading supplier of video surveillance solutions. From its inception in 2001,they have played an active role in the ever-evolving",170000.0,http://www.indeed.com/company/Tandem-Recruiting-Group/jobs/Computer-Vision-Machine-Learning-Researcher-f07ec19424f6c4b8?r=1&fccid=2d68a81d04a3d17b,"Santa Clara, CA",6 days ago,180000.0,,Computer Vision/Machine Learning Researcher
57,JPMorgan Chase,"Govern data decisions related to data model design, data access patterns, and data services. Experience managing data transformations using Spark and/or NiFi...",170000.0,http://www.indeed.com/rc/clk?jk=169d8291028d7c8b&fccid=c46d0116f6e69eae,"New York, NY",7 days ago,,,Data Architect for Big Data Systems (VP) - Intelligent Solutions
58,Selby Jennings,"Equity Research Analyst – Healthcare Selby Jennings’ client, a Boutique Investment Bank, is looking to add an Equity Research Analyst responsible for",170000.0,http://www.indeed.com/rc/clk?jk=ecfd9dbfa452e251&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",11 days ago,150000.0,200000.0,Equity Research Analyst – Healthcare
59,Clark Davis Associates,Data review and medical monitoring of data (required). Clinical Research Scientist. Review and query of hematology/oncology data including:....,170000.0,http://www.indeed.com/rc/clk?jk=2114134239eece34&fccid=55f4cdfdbf0f4d44,"Parsippany, NJ 07054",11 days ago,85.0,,Clinical Research Scientist
60,AstraZeneca,Maintain key links into global brand clinical activities by maintaining collaborative working relationship with Oncology medical physicians including Medical...,170000.0,http://www.indeed.com/rc/clk?jk=2508d312de98766d&fccid=003656df63cede32,"Gaithersburg, MD 20899",12 days ago,,,"Medical Director, Oncology"
61,Roland & Associates,Lead Data Scientist. You have experience in Big data solutions. You have 6 years of hands-on data science work....,170000.0,http://www.indeed.com/rc/clk?jk=2239104698a47580&fccid=dcbe8bbc7e71c119,"San Francisco, CA",19 days ago,150000.0,200000.0,Lead Data Scientist - Machine Learning
62,Harnham,The Quantitative Analytics team is a global team located on four of this oil company's trading floors worldwide. The team has a remit to provide quantitative,170000.0,http://www.indeed.com/rc/clk?jk=b192154eb571fd1a&fccid=d72eb0548d91249c,"Houston, TX",14 days ago,,,Senior Quantitative Analyst
63,AstraZeneca,Maintain key links into global brand clinical activities by maintaining collaborative working relationship with Oncology medical physicians including Medical...,170000.0,http://www.indeed.com/rc/clk?jk=3fb9137d58d572b0&fccid=003656df63cede32,"Gaithersburg, MD 20899",15 days ago,,,Medical Director Immuno-Oncology
64,MUFG,This Quantitative Analyst within the American Model Risk Management (AMRM) supports best-practice model risk activities consistent with the MUFG UB Model,170000.0,http://www.indeed.com/rc/clk?jk=b6dcd32f78890266&fccid=3b98171e4a0fd997,"New York, NY",20 days ago,,,Quantitative Analyst - Fixed Income Derivatives - Model Risk Management Market Risk -- Vice President
65,DCSI- Global Consulting Company,Chief Data Scientist – Oil & Gas Analytics Grade :. Identify informative internal & external data sources & establish methods to incorporate into predictive and...,170000.0,http://www.indeed.com/cmp/Digitek-Corp-Solution-Inc.-(DCSI)/jobs/Chief-Data-Scientist-Oil-Gas-Analytic-8a9f9602ced74351?r=1&fccid=b06214e311883f6c,"San Jose, CA",27 days ago,170000.0,,Chief Data Scientist – Oil & Gas Analytics
66,Jobspring Partners,"Expertise in machine learning, data mining, and algorithm development. Our client is a fast-growing startup building the leading open-source predictive...",170000.0,http://www.indeed.com/rc/clk?jk=03e1ef1872500a4a&fccid=4a2d2fbadf14d480,"San Jose, CA 95113 (Downtown area)",26 days ago,150000.0,200000.0,Machine Learning Engineer - Artificial Intelligence
67,Jobspring Partners,"A well-known established company is looking for a Data Scientist and is willing to pay up to $150,000. You will be part of the growth team, and will have...",170000.0,http://www.indeed.com/rc/clk?jk=0972c67015abe821&fccid=4a2d2fbadf14d480,"San Jose, CA 95113 (Downtown area)",28 days ago,160000.0,185000.0,Data Scientist
68,Big Cloud,Do you want to work in a company that are at the forefront of using data science in Medicine?*. Are you a talented Machine Learning Researcher/Engineer?...,170000.0,http://www.indeed.com/cmp/Big-Cloud-Recruitment/jobs/Data-Scientist-147f0cf07d1d7fe0?r=1&fccid=a22e33158fb49b51,"San Francisco, CA",28 days ago,,,Data Scientist (Machine Learning / Computer Vision)
69,ADP,"Collaborate with the Chief Privacy Officer to define standards for regulatory compliance, data policy, data security and data retention....",170000.0,http://www.indeed.com/rc/clk?jk=1e39d21779107867&fccid=e996c2d6855fe778,"Roseland, NJ 07068",30+ days ago,,,VP Chief Data Officer
70,NextGen Global Resources LLC,"Big Data features:. Experience with NoSQL, MySQL and Big Data solutions (MongoDB, Cassandra, Spark, PostegreSQL)....",170000.0,http://www.indeed.com/cmp/NextGen-Global-Resources/jobs/Machine-Learning-d008f6e4cab52185?r=1&fccid=e9a2340113495ba0,"Bellevue, WA",30+ days ago,170000.0,,Machine Learning (SDE)
71,Novartis Pharmaceuticals,"Effective coaching and development of statistical scientists and biometricians, as assessed by the IIS Program Head....",170000.0,http://www.indeed.com/rc/clk?jk=3e54b7d63c281db1&fccid=c35194d01a9e2595,"East Hanover, NJ 07936",30+ days ago,,,Associate Director Statistical Scientist
72,Enlitic,"Build maintainable pipelines for deep learning that can handle terabytes of data. As one of the first 20 full-time team members, you will develop Enlitic’s next...",170000.0,http://www.indeed.com/rc/clk?jk=d3287a39254e299d&fccid=4195f1de5282d9c4,"San Francisco, CA",30+ days ago,,,Deep Learning / Machine Learning Researcher
73,Strategic Employment Partners,Build new data models. Well-established financial advisory/hedge fund is growing its team and hiring a Data Scientist with significant experience programming in...,170000.0,http://www.indeed.com/rc/clk?jk=08313029c3118929&fccid=ae836b4513efc3af,"Boston, MA",30+ days ago,170000.0,,Data Scientist
74,Elevate Recruiting Group,"Through the Our Clients pivotal world-view in the security domain, the Data Scientist will make large-scale and world-shaping impact across diverse sectors...",170000.0,http://www.indeed.com/rc/clk?jk=e4cfbe99cad07b45&fccid=ea0afd5c2a813ac2,"Redwood City, CA",30+ days ago,170000.0,,Senior Data Scientist - Security Experience is Huge
75,JPMorgan Chase,"We are a small, focused team of passionate engineers, designers, data scientists, and business people set on creating and building products that transform the...",170000.0,http://www.indeed.com/rc/clk?jk=e1d892060d4123ba&fccid=c46d0116f6e69eae,"Brooklyn, NY",30+ days ago,,,CIB – Innovation and FinTech Partnerships VP – New York
76,Elevate Recruiting Group,"Other members of the team include published authors, Ivy League data scientists, TED-talk speakers, world-class researchers and inspirational education leaders....",170000.0,http://www.indeed.com/rc/clk?jk=3126755aef5ab888&fccid=ea0afd5c2a813ac2,"San Francisco, CA",30+ days ago,175000.0,,Devops Engineer with Ruby on Rails
77,Selby Jennings,"Equity Research Analyst – Biotech – New York, NY Selby Jennings’ client, a Boutique Investment Bank, is looking to add an Equity Research Analyst who will be",170000.0,http://www.indeed.com/rc/clk?jk=cc67424602095953&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",30+ days ago,150000.0,200000.0,"Equity Research Analyst – Biotech – New York, NY"
78,Selby Jennings,VP Data Scientist. A top investment bank in New York City is looking for a VP-level Data Scientist to join their Data Science Division....,170000.0,http://www.indeed.com/rc/clk?jk=e4a4a7b3935340a1&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",30+ days ago,150000.0,200000.0,VP Data Scientist
79,Selby Jennings,VP Data Scientist. A leading bank is looking for experienced VP-level Data Scientists to join a new and innovative data science group in their NYC headquarters....,170000.0,http://www.indeed.com/rc/clk?jk=8416fb54c7a946f7&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",30+ days ago,155000.0,200000.0,VP Data Science | Top Bank
80,Jobspring Partners,Big Data tools:. This Data Scientist will be working alongside the Director of Analytics as well as the CTO....,170000.0,http://www.indeed.com/rc/clk?jk=2a5138ef9bf468d5&fccid=4a2d2fbadf14d480,"Arlington, VA",30+ days ago,150000.0,200000.0,Senior/Lead Data Scientist
81,Pointillist,"We are a group of Data Scientists, Developers, and Start up veterans with a single obsession:. Vice President Business Development & Sales – Pointillist*....",170000.0,http://www.indeed.com/company/Pointillist/jobs/Vice-President-Business-Development-Sales-ddbb07be20486d68?r=1&fccid=0db07b42f45d6765,"Boston, MA",30+ days ago,180000.0,,Vice President Business Development & Sales
82,Jobspring Partners,"Vice President, Analytics, Downtown, SQL, BI Tools, VBA, Python, Java, Agile Methodologies, Data Science, Data Engineer, Marketing Analytics, Data Scientist,...",170000.0,http://www.indeed.com/rc/clk?jk=7c51651b70cda69d&fccid=4a2d2fbadf14d480,"Evanston, IL",30+ days ago,160000.0,180000.0,VP of Analytics (Deep Learning)
83,Workbridge Associates,This person will be working alongside the Data Engineer who has already developed the data pipeline and will own the Data Science stack....,160000.0,http://www.indeed.com/rc/clk?jk=4f37003fc4a53372&fccid=a6920e0a635e5c4e,"Mountain View, CA",Today,120000.0,200000.0,Data Scientist
84,Workbridge Associates,"Experience with Java, Python, R, Machine Learning with a Data Scientist background. Hands on experience with Big Data Tools(Spark) and latest technologies....",160000.0,http://www.indeed.com/rc/clk?jk=062a3d037dbc1818&fccid=a6920e0a635e5c4e,"New York, NY",1 day ago,145000.0,185000.0,Data Science Engineer
85,Selby Jennings,"Multinational Tier 1 Bank is looking to add to their Market Risk Group. In this role, you will be responsible for independently handling multiple projects",160000.0,http://www.indeed.com/rc/clk?jk=345090ac700f7e7a&fccid=e46dcf251ad893cd,"New York, NY 10167 (Midtown area)",1 day ago,125000.0,200000.0,VP Sr Quantitative Finance Analyst
86,UCB,"Data, data infrastructure and integration Improving UCBs forecasting processes. Help design, then lead or manage advanced analytics projects done by advanced...",160000.0,http://www.indeed.com/rc/clk?jk=00b6a44d7f426b8e&fccid=2bc352ed2fb98aa7,"Atlanta, GA",2 days ago,,,Head of Commercial Data and Analytics
